cbsa_code,cbsa_name,cbsa_type,latitude,longitude,principal_city,states,is_metro,cbsa_name_normalized
10180,"Abilene, TX Metro Area",1,32.452022,-99.718743,Abilene,TX,True,"abilene, tx metro area"
10300,"Adrian, MI Micro Area",2,41.896022,-84.074356,Adrian,MI,False,"adrian, mi micro area"
10380,"Aguadilla, PR Metro Area",1,18.391555,-67.097202,Aguadilla,PR,True,"aguadilla, pr metro area"
10420,"Akron, OH Metro Area",1,41.146639,-81.35011,Akron,OH,True,"akron, oh metro area"
10540,"Albany, OR Metro Area",1,44.488898,-122.537208,Albany,OR,True,"albany, or metro area"
10580,"Albany-Schenectady-Troy, NY Metro Area",1,42.78792,-73.942348,Albany-Schenectady-Troy,NY,True,"albany-schenectady-troy, ny metro area"
10620,"Albemarle, NC Micro Area",2,35.310449,-80.254374,Albemarle,NC,False,"albemarle, nc micro area"
10700,"Albertville, AL Micro Area",2,34.309564,-86.321668,Albertville,AL,False,"albertville, al micro area"
10740,"Albuquerque, NM Metro Area",1,35.123496,-106.458392,Albuquerque,NM,True,"albuquerque, nm metro area"
10760,"Alexander City, AL Micro Area",2,32.863308,-85.799618,Alexander City,AL,False,"alexander city, al micro area"
10860,"Alice, TX Micro Area",2,27.359741,-98.157214,Alice,TX,False,"alice, tx micro area"
10900,"Allentown-Bethlehem-Easton, PA-NJ Metro Area",1,40.789339,-75.398158,Allentown-Bethlehem-Easton,PA-NJ,True,"allentown-bethlehem-easton, pa-nj metro area"
10940,"Alma, MI Micro Area",2,43.292326,-84.60469,Alma,MI,False,"alma, mi micro area"
11020,"Altoona, PA Metro Area",1,40.498683,-78.309597,Altoona,PA,True,"altoona, pa metro area"
11100,"Amarillo, TX Metro Area",1,35.247999,-101.90867,Amarillo,TX,True,"amarillo, tx metro area"
11180,"Ames, IA Metro Area",1,42.036128,-93.698008,Ames,IA,True,"ames, ia metro area"
11200,"Amherst Town-Northampton, MA Metro Area",1,42.339459,-72.663694,Amherst Town-Northampton,MA,True,"amherst town-northampton, ma metro area"
11220,"Amsterdam, NY Micro Area",2,42.900891,-74.435357,Amsterdam,NY,False,"amsterdam, ny micro area"
11360,"Anderson Creek, NC Micro Area",2,35.36866,-78.871665,Anderson Creek,NC,False,"anderson creek, nc micro area"
11380,"Andrews, TX Micro Area",2,32.312258,-102.640206,Andrews,TX,False,"andrews, tx micro area"
11420,"Angola, IN Micro Area",2,41.643467,-85.002405,Angola,IN,False,"angola, in micro area"
11460,"Ann Arbor, MI Metro Area",1,42.252217,-83.843423,Ann Arbor,MI,True,"ann arbor, mi metro area"
11540,"Appleton, WI Metro Area",1,44.290603,-88.372326,Appleton,WI,True,"appleton, wi metro area"
11580,"Arcadia, FL Micro Area",2,27.190581,-81.806253,Arcadia,FL,False,"arcadia, fl micro area"
11640,"Arecibo, PR Metro Area",1,18.439224,-66.759981,Arecibo,PR,True,"arecibo, pr metro area"
11680,"Arkansas City-Winfield, KS Micro Area",2,37.234507,-96.837247,Arkansas City-Winfield,KS,False,"arkansas city-winfield, ks micro area"
11700,"Asheville, NC Metro Area",1,35.61634,-82.570683,Asheville,NC,True,"asheville, nc metro area"
11740,"Ashland, OH Micro Area",2,40.843273,-82.270127,Ashland,OH,False,"ashland, oh micro area"
11860,"Atchison, KS Micro Area",2,39.532544,-95.313397,Atchison,KS,False,"atchison, ks micro area"
11900,"Athens, OH Micro Area",2,39.332755,-82.045885,Athens,OH,False,"athens, oh micro area"
11940,"Athens, TN Micro Area",2,35.451963,-84.682714,Athens,TN,False,"athens, tn micro area"
11980,"Athens, TX Micro Area",2,32.211633,-95.853418,Athens,TX,False,"athens, tx micro area"
12020,"Athens-Clarke County, GA Metro Area",1,33.943984,-83.213897,Athens-Clarke County,GA,True,"athens-clarke county, ga metro area"
12060,"Atlanta-Sandy Springs-Roswell, GA Metro Area",1,33.732402,-84.392848,Atlanta-Sandy Springs-Roswell,GA,True,"atlanta-sandy springs-roswell, ga metro area"
12100,"Atlantic City-Hammonton, NJ Metro Area",1,39.286186,-74.738311,Atlantic City-Hammonton,NJ,True,"atlantic city-hammonton, nj metro area"
12140,"Auburn, IN Micro Area",2,41.39676,-85.002697,Auburn,IN,False,"auburn, in micro area"
12180,"Auburn, NY Micro Area",2,43.008546,-76.574587,Auburn,NY,False,"auburn, ny micro area"
12220,"Auburn-Opelika, AL Metro Area",1,32.492206,-85.527127,Auburn-Opelika,AL,True,"auburn-opelika, al metro area"
12380,"Austin, MN Micro Area",2,43.666249,-92.759514,Austin,MN,False,"austin, mn micro area"
12460,"Bainbridge, GA Micro Area",2,30.880643,-84.58389,Bainbridge,GA,False,"bainbridge, ga micro area"
12580,"Baltimore-Columbia-Towson, MD Metro Area",1,39.304361,-76.549501,Baltimore-Columbia-Towson,MD,True,"baltimore-columbia-towson, md metro area"
12660,"Baraboo, WI Micro Area",2,43.428001,-89.943318,Baraboo,WI,False,"baraboo, wi micro area"
12700,"Barnstable Town, MA Metro Area",1,41.706123,-70.164823,Barnstable Town,MA,True,"barnstable town, ma metro area"
12740,"Barre, VT Micro Area",2,44.274969,-72.609444,Barre,VT,False,"barre, vt micro area"
12780,"Bartlesville, OK Micro Area",2,36.704403,-95.906253,Bartlesville,OK,False,"bartlesville, ok micro area"
12860,"Batavia, NY Micro Area",2,43.00091,-78.192778,Batavia,NY,False,"batavia, ny micro area"
12940,"Baton Rouge, LA Metro Area",1,30.515242,-91.126926,Baton Rouge,LA,True,"baton rouge, la metro area"
12980,"Battle Creek, MI Metro Area",1,42.24299,-85.012385,Battle Creek,MI,True,"battle creek, mi metro area"
13020,"Bay City, MI Metro Area",1,43.699711,-83.978701,Bay City,MI,True,"bay city, mi metro area"
13060,"Bay City, TX Micro Area",2,28.77476,-96.001532,Bay City,TX,False,"bay city, tx micro area"
13100,"Beatrice, NE Micro Area",2,40.255234,-96.683453,Beatrice,NE,False,"beatrice, ne micro area"
13180,"Beaver Dam, WI Micro Area",2,43.429628,-88.701939,Beaver Dam,WI,False,"beaver dam, wi micro area"
13260,"Bedford, IN Micro Area",2,38.839815,-86.48782,Bedford,IN,False,"bedford, in micro area"
13340,"Bellefontaine, OH Micro Area",2,40.387553,-83.766343,Bellefontaine,OH,False,"bellefontaine, oh micro area"
13660,"Big Rapids, MI Micro Area",2,43.635295,-85.332751,Big Rapids,MI,False,"big rapids, mi micro area"
13820,"Birmingham, AL Metro Area",1,33.462372,-86.814338,Birmingham,AL,True,"birmingham, al metro area"
13940,"Blackfoot, ID Micro Area",2,43.216357,-112.399206,Blackfoot,ID,False,"blackfoot, id micro area"
14010,"Bloomington, IL Metro Area",1,40.494559,-88.844539,Bloomington,IL,True,"bloomington, il metro area"
14020,"Bloomington, IN Metro Area",1,39.241736,-86.671754,Bloomington,IN,True,"bloomington, in metro area"
14100,"Bloomsburg-Berwick, PA Micro Area",2,41.045517,-76.40426,Bloomsburg-Berwick,PA,False,"bloomsburg-berwick, pa micro area"
14220,"Bogalusa, LA Micro Area",2,30.852144,-90.046253,Bogalusa,LA,False,"bogalusa, la micro area"
14260,"Boise City, ID Metro Area",1,43.006648,-116.141909,Boise City,ID,True,"boise city, id metro area"
14300,"Bonham, TX Micro Area",2,33.591161,-96.104988,Bonham,TX,False,"bonham, tx micro area"
14420,"Borger, TX Micro Area",2,35.837047,-101.362746,Borger,TX,False,"borger, tx micro area"
14460,"Boston-Cambridge-Newton, MA-NH Metro Area",1,42.517606,-71.021993,Boston-Cambridge-Newton,MA-NH,True,"boston-cambridge-newton, ma-nh metro area"
14500,"Boulder, CO Metro Area",1,40.094971,-105.39771,Boulder,CO,True,"boulder, co metro area"
14540,"Bowling Green, KY Metro Area",1,37.046804,-86.397398,Bowling Green,KY,True,"bowling green, ky metro area"
14710,"Brattleboro, VT Micro Area",2,42.995304,-72.721877,Brattleboro,VT,False,"brattleboro, vt micro area"
14740,"Bremerton-Silverdale-Port Orchard, WA Metro Area",1,47.639687,-122.649636,Bremerton-Silverdale-Port Orchard,WA,True,"bremerton-silverdale-port orchard, wa metro area"
14780,"Brenham, TX Micro Area",2,30.215075,-96.410272,Brenham,TX,False,"brenham, tx micro area"
14820,"Brevard, NC Micro Area",2,35.210103,-82.816666,Brevard,NC,False,"brevard, nc micro area"
14860,"Bridgeport-Stamford-Danbury, CT Metro Area",1,41.252442,-73.393266,Bridgeport-Stamford-Danbury,CT,True,"bridgeport-stamford-danbury, ct metro area"
14940,"Brigham City, UT-ID Micro Area",2,41.622623,-113.060252,Brigham City,UT-ID,False,"brigham city, ut-id micro area"
15020,"Brookhaven, MS Micro Area",2,31.535216,-90.453566,Brookhaven,MS,False,"brookhaven, ms micro area"
15060,"Brookings, OR Micro Area",2,42.466439,-124.210929,Brookings,OR,False,"brookings, or micro area"
15180,"Brownsville-Harlingen, TX Metro Area",1,26.102923,-97.478958,Brownsville-Harlingen,TX,True,"brownsville-harlingen, tx metro area"
15340,"Bucyrus, OH Micro Area",2,40.848524,-82.924783,Bucyrus,OH,False,"bucyrus, oh micro area"
15380,"Buffalo-Cheektowaga, NY Metro Area",1,43.044371,-78.777335,Buffalo-Cheektowaga,NY,True,"buffalo-cheektowaga, ny metro area"
15460,"Burlington, IA-IL Micro Area",2,40.863823,-91.069976,Burlington,IA-IL,False,"burlington, ia-il micro area"
15500,"Burlington, NC Metro Area",1,36.043954,-79.400573,Burlington,NC,True,"burlington, nc metro area"
15540,"Burlington-South Burlington, VT Metro Area",1,44.689115,-73.041175,Burlington-South Burlington,VT,True,"burlington-south burlington, vt metro area"
15660,"Calhoun, GA Micro Area",2,34.509667,-84.873862,Calhoun,GA,False,"calhoun, ga micro area"
15700,"Cambridge, MD Micro Area",2,38.429196,-76.047433,Cambridge,MD,False,"cambridge, md micro area"
15740,"Cambridge, OH Micro Area",2,40.056665,-81.497875,Cambridge,OH,False,"cambridge, oh micro area"
15860,"CaÃ±on City, CO Micro Area",2,38.45517,-105.424958,CaÃ±on City,CO,False,"caã±on city, co micro area"
15900,"Canton, IL Micro Area",2,40.46524,-90.202269,Canton,IL,False,"canton, il micro area"
15940,"Canton-Massillon, OH Metro Area",1,40.711051,-81.261468,Canton-Massillon,OH,True,"canton-massillon, oh metro area"
15980,"Cape Coral-Fort Myers, FL Metro Area",1,26.563273,-81.984182,Cape Coral-Fort Myers,FL,True,"cape coral-fort myers, fl metro area"
16020,"Cape Girardeau, MO-IL Metro Area",1,37.325936,-89.762639,Cape Girardeau,MO-IL,True,"cape girardeau, mo-il metro area"
16060,"Carbondale, IL Micro Area",2,37.786096,-89.381212,Carbondale,IL,False,"carbondale, il micro area"
16180,"Carson City, NV Metro Area",1,39.15306,-119.747368,Carson City,NV,True,"carson city, nv metro area"
16300,"Cedar Rapids, IA Metro Area",1,42.086289,-91.631095,Cedar Rapids,IA,True,"cedar rapids, ia metro area"
16340,"Cedartown, GA Micro Area",2,33.996015,-85.188338,Cedartown,GA,False,"cedartown, ga micro area"
