state_code,county_fips,county_name,latitude,longitude,county_name_normalized,county_name_base,county_name_base_normalized
AL,01001,Autauga County,32.532237,-86.64644,autauga county,Autauga,autauga
AL,01003,Baldwin County,30.659218,-87.746067,baldwin county,Baldwin,baldwin
AL,01005,Barbour County,31.870253,-85.405104,barbour county,Barbour,barbour
AL,01007,Bibb County,33.015893,-87.127148,bibb county,Bibb,bibb
AL,01009,Blount County,33.977358,-86.56644,blount county,Blount,blount
AL,01011,Bullock County,32.101759,-85.717261,bullock county,Bullock,bullock
AL,01013,Butler County,31.751667,-86.681969,butler county,Butler,butler
AL,01015,Calhoun County,33.770516,-85.827909,calhoun county,Calhoun,calhoun
AL,01017,Chambers County,32.915504,-85.394032,chambers county,Chambers,chambers
AL,01019,Cherokee County,34.069515,-85.654242,cherokee county,Cherokee,cherokee
AL,01021,Chilton County,32.854051,-86.726607,chilton county,Chilton,chilton
AL,01023,Choctaw County,31.990954,-88.248889,choctaw county,Choctaw,choctaw
AL,01025,Clarke County,31.685521,-87.818624,clarke county,Clarke,clarke
AL,01027,Clay County,33.2704,-85.863525,clay county,Clay,clay
AL,01029,Cleburne County,33.671964,-85.516126,cleburne county,Cleburne,cleburne
AL,01031,Coffee County,31.402258,-85.989602,coffee county,Coffee,coffee
AL,01033,Colbert County,34.703112,-87.801457,colbert county,Colbert,colbert
AL,01035,Conecuh County,31.430926,-86.988722,conecuh county,Conecuh,conecuh
AL,01037,Coosa County,32.931445,-86.243482,coosa county,Coosa,coosa
AL,01039,Covington County,31.243987,-86.448721,covington county,Covington,covington
AL,01041,Crenshaw County,31.730311,-86.320038,crenshaw county,Crenshaw,crenshaw
AL,01043,Cullman County,34.131923,-86.869267,cullman county,Cullman,cullman
AL,01045,Dale County,31.430654,-85.609476,dale county,Dale,dale
AL,01047,Dallas County,32.333526,-87.11436,dallas county,Dallas,dallas
AL,01049,DeKalb County,34.460915,-85.804021,dekalb county,DeKalb,dekalb
AL,01051,Elmore County,32.597229,-86.142735,elmore county,Elmore,elmore
AL,01053,Escambia County,31.122287,-87.16841,escambia county,Escambia,escambia
AL,01055,Etowah County,34.047641,-86.034263,etowah county,Etowah,etowah
AL,01057,Fayette County,33.716157,-87.764292,fayette county,Fayette,fayette
AL,01059,Franklin County,34.441989,-87.842814,franklin county,Franklin,franklin
AL,01061,Geneva County,31.092382,-85.821022,geneva county,Geneva,geneva
AL,01063,Greene County,32.844497,-87.9642,greene county,Greene,greene
AL,01065,Hale County,32.752796,-87.623061,hale county,Hale,hale
AL,01067,Henry County,31.516978,-85.239971,henry county,Henry,henry
AL,01069,Houston County,31.158183,-85.296411,houston county,Houston,houston
AL,01071,Jackson County,34.764114,-85.980056,jackson county,Jackson,jackson
AL,01073,Jefferson County,33.553444,-86.896536,jefferson county,Jefferson,jefferson
AL,01075,Lamar County,33.787085,-88.087431,lamar county,Lamar,lamar
AL,01077,Lauderdale County,34.904168,-87.651108,lauderdale county,Lauderdale,lauderdale
AL,01079,Lawrence County,34.529776,-87.321865,lawrence county,Lawrence,lawrence
AL,01081,Lee County,32.604064,-85.353048,lee county,Lee,lee
AL,01083,Limestone County,34.810239,-86.981399,limestone county,Limestone,limestone
AL,01085,Lowndes County,32.147888,-86.650586,lowndes county,Lowndes,lowndes
AL,01087,Macon County,32.387027,-85.692887,macon county,Macon,macon
AL,01089,Madison County,34.764238,-86.55108,madison county,Madison,madison
AL,01091,Marengo County,32.247591,-87.791091,marengo county,Marengo,marengo
AL,01093,Marion County,34.138219,-87.881551,marion county,Marion,marion
AL,01095,Marshall County,34.309564,-86.321668,marshall county,Marshall,marshall
AL,01097,Mobile County,30.684572,-88.196568,mobile county,Mobile,mobile
AL,01099,Monroe County,31.580353,-87.383342,monroe county,Monroe,monroe
AL,01101,Montgomery County,32.202881,-86.204461,montgomery county,Montgomery,montgomery
AL,01103,Morgan County,34.454484,-86.846402,morgan county,Morgan,morgan
AL,01105,Perry County,32.639005,-87.293827,perry county,Perry,perry
AL,01107,Pickens County,33.2968,-88.096864,pickens county,Pickens,pickens
AL,01109,Pike County,31.798653,-85.941608,pike county,Pike,pike
AL,01111,Randolph County,33.296461,-85.464064,randolph county,Randolph,randolph
AL,01113,Russell County,32.289811,-85.18698,russell county,Russell,russell
AL,01115,St. Clair County,33.719491,-86.311327,st. clair county,St. Clair,st. clair
AL,01117,Shelby County,33.266893,-86.661007,shelby county,Shelby,shelby
AL,01119,Sumter County,32.597481,-88.200057,sumter county,Sumter,sumter
AL,01121,Talladega County,33.369314,-86.17593,talladega county,Talladega,talladega
AL,01123,Tallapoosa County,32.863308,-85.799618,tallapoosa county,Tallapoosa,tallapoosa
AL,01125,Tuscaloosa County,33.29022,-87.522783,tuscaloosa county,Tuscaloosa,tuscaloosa
AL,01127,Walker County,33.791558,-87.301094,walker county,Walker,walker
AL,01129,Washington County,31.408503,-88.212404,washington county,Washington,washington
AL,01131,Wilcox County,31.990082,-87.304935,wilcox county,Wilcox,wilcox
AL,01133,Winston County,34.154566,-87.365346,winston county,Winston,winston
AK,02013,Aleutians East Borough,55.245044,-161.997477,aleutians east borough,Aleutians East,aleutians east
AK,02016,Aleutians West Census Area,51.948964,179.621188,aleutians west census area,Aleutians West,aleutians west
AK,02020,Anchorage Municipality,61.17425,-149.284329,anchorage municipality,Anchorage,anchorage
AK,02050,Bethel Census Area,60.929141,-160.152625,bethel census area,Bethel,bethel
AK,02060,Bristol Bay Borough,58.730546,-156.994473,bristol bay borough,Bristol Bay,bristol bay
AK,02063,Chugach Census Area,60.488474,-146.203092,chugach census area,Chugach,chugach
AK,02066,Copper River Census Area,62.034479,-143.922167,copper river census area,Copper River,copper river
AK,02068,Denali Borough,63.682039,-150.027016,denali borough,Denali,denali
AK,02070,Dillingham Census Area,59.543326,-158.267123,dillingham census area,Dillingham,dillingham
AK,02090,Fairbanks North Star Borough,64.670454,-146.496061,fairbanks north star borough,Fairbanks North Star,fairbanks north star
AK,02100,Haines Borough,59.098404,-135.575791,haines borough,Haines,haines
AK,02105,Hoonah-Angoon Census Area,58.403336,-135.884909,hoonah-angoon census area,Hoonah-Angoon,hoonah-angoon
AK,02110,Juneau City and Borough,58.37291,-134.178445,juneau city and borough,Juneau City and,juneau city and
AK,02122,Kenai Peninsula Borough,60.366668,-152.322283,kenai peninsula borough,Kenai Peninsula,kenai peninsula
AK,02130,Ketchikan Gateway Borough,55.449938,-131.106685,ketchikan gateway borough,Ketchikan Gateway,ketchikan gateway
AK,02150,Kodiak Island Borough,57.7044,-153.918372,kodiak island borough,Kodiak Island,kodiak island
AK,02158,Kusilvak Census Area,62.283588,-163.190171,kusilvak census area,Kusilvak,kusilvak
AK,02164,Lake and Peninsula Borough,58.108507,-156.413413,lake and peninsula borough,Lake and Peninsula,lake and peninsula
