entity_type,entity_name,total_dollars,official_count,transaction_count,suggested_sector,suggested_sub_sector,suggested_level,include,sector,sub_sector,entity_level
ticker,MSFT,79416422,54,422,,,firm,,,,
ticker,AAPL,22067268,52,268,,,firm,,,,
ticker,NVDA,16715293,41,293,,,firm,,,,
ticker,VRNG,13275214,3,214,,,firm,,,,
ticker,GOOGL,6806217,35,217,,,firm,,,,
ticker,AMZN (PART OF MY SPOUSE'S RETIREMENT PORTFOLIO.),6715240,42,240,,,firm,,,,
pac,K SQUARED MEDIA LLC,4215910.0,2,4,,,firm,,,,
ticker,COLV,3550011,1,11,,,firm,,,,
ticker,UNH,3338188,37,188,,,firm,,,,
ticker,FB,3175086,4,86,,,firm,,,,
ticker,ANET,3087096,18,96,,,firm,,,,
ticker,AVGO,3078153,27,153,,,firm,,,,
ticker,DIS,2748118,25,118,,,firm,,,,
ticker,NGL,2742030,1,30,,,firm,,,,
ticker,NFLX,2738112,22,112,,,firm,,,,
ticker,COP,2456088,16,88,,,firm,,,,
ticker,INTC,2380100,23,100,,,firm,,,,
ticker,SPOR,2361043,3,43,,,firm,,,,
pac,ANGIE CRAIG FOR CONGRESS,2243578.0,1,1174,,,,,,,
ticker,GS,2183091,22,91,financial,banking,firm,,,,
ticker,GOOG,2158162,28,162,,,firm,,,,
ticker,C,2077096,14,96,financial,banking,firm,,,,
ticker,WAT,2028030,9,30,,,firm,,,,
ticker,V,2009134,33,134,financial,payments,firm,,,,
ticker,WTT,2000003,1,3,,,firm,,,,
ticker,SYMBOL: OGVXX (JPMORGAN U.S. GOVERNMENT MONEY MARKET FD CAPITAL CL M/M (SYMBOL: OGVXX)),2000002,1,2,,,firm,,,,
pac,CAMPAIGN HEADQUARTERS,1997719.0,22,25,,,,,,,
ticker,CONN,1947022,2,22,,,firm,,,,
ticker,PANW,1915072,19,72,,,firm,,,,
ticker,WFC,1899129,17,129,financial,banking,firm,,,,
ticker,IBDY,1850004,1,4,,,firm,,,,
ticker,FWONK (SHARES SURRENDERED THRU MERGER),1848017,4,17,,,firm,,,,
ticker,QCOM,1834072,17,72,,,firm,,,,
ticker,ET,1833037,6,37,,,firm,,,,
ticker,TOR,1761034,1,34,,,firm,,,,
ticker,SPY,1746021,9,21,,,firm,,,,
ticker,JPM,1734148,39,148,financial,banking,firm,,,,
ticker,BKDT,1727018,1,18,,,firm,,,,
ticker,PYPL,1706095,23,95,financial,payments,firm,,,,
ticker,RDS-A,1613022,2,22,,,firm,,,,
pac,THEMATIC CAMPAIGNS,1610869.0,10,22,,,,,,,
ticker,MS,1551101,15,101,financial,banking,firm,,,,
ticker,HUM,1522089,7,89,,,firm,,,,
ticker,TPR,1514042,4,42,,,firm,,,,
ticker,LRCX,1508075,21,75,,,firm,,,,
ticker,TSM,1463066,16,66,,,firm,,,,
ticker,JNJ,1429157,35,157,,,firm,,,,
ticker,CVS (PART OF MY SPOUSE'S RETIREMENT PORTFOLIO.),1391088,21,88,,,firm,,,,
ticker,CVX,1374079,24,79,,,firm,,,,
ticker,HOG,1371032,3,32,,,firm,,,,
ticker,CMG,1366086,13,86,,,firm,,,,
ticker,KHC,1329055,6,55,,,firm,,,,
ticker,FLL,1326009,1,9,,,firm,,,,
ticker,FIS,1317052,11,52,financial,payments,firm,,,,
ticker,GE,1300039,9,39,,,firm,,,,
ticker,TSN,1296047,5,47,,,firm,,,,
ticker,BRK.B,1290160,26,160,,,firm,,,,
ticker,BNS,1289025,2,25,,,firm,,,,
ticker,PM,1284063,13,63,,,firm,,,,
ticker,NAIT,1280005,1,5,,,firm,,,,
pac,BANKS FOR SENATE,1278842.0,2,799,financial,banking,,,,,
ticker,SPG,1277033,7,33,,,firm,,,,
ticker,META,1264132,30,132,,,firm,,,,
ticker,CMCSA (REBALANCING OF PORTFOLIO),1249098,27,98,,,firm,,,,
ticker,ADBE,1237127,22,127,,,firm,,,,
ticker,ISHC,1233010,3,10,,,firm,,,,
ticker,ONCO,1205017,3,17,,,firm,,,,
ticker,CSX,1191038,11,38,,,firm,,,,
ticker,MRK,1184124,26,124,,,firm,,,,
ticker,GBNE,1180023,1,23,,,firm,,,,
ticker,TSLA,1170140,21,140,,,firm,,,,
ticker,MO,1162044,6,44,,,firm,,,,
ticker,F (PART OF MY SPOUSE'S RETIREMENT PORTFOLIO.),1154057,9,57,,,firm,,,,
ticker,NMT,1140014,1,14,,,firm,,,,
ticker,LAWS,1131006,1,6,,,firm,,,,
ticker,INTU,1130089,15,89,,,firm,,,,
pac,CAMPAIGNHQ,1130088.0,6,8,,,,,,,
