name,bioguide_id,party,state,chamber,composite_score,scale_score,concentration_score,personal_score,total_financial_exposure,financial_trades,financial_pac,financial_individual,trade_count,pac_count,individual_count,unified_hhi,dominant_sector,dominant_pct,net_worth_display,net_worth_midpoint,wealth_tier,net_worth_is_estimate,pac_banking,pac_insurance,pac_real_estate,pac_investment,pac_lending,pac_payments,pac_credit_unions,pac_private_equity,top_pac_1,top_pac_1_amount,top_pac_1_sector,top_pac_2,top_pac_2_amount,top_pac_2_sector,top_pac_3,top_pac_3_amount,top_pac_3_sector,top_employer_1,top_employer_1_amount,top_employer_1_sector,top_employer_2,top_employer_2_amount,top_employer_2_sector,hfsc_member,sbc_member
"Costa, Jim",C001059,D,California,house,19.4,48.4,0.0,0.0,81000.0,0,0,3000.0,0,58,2,1929.8,insurance,26.3,$1M-$5M,3000000,$1M-$5M,Yes,19000.0,13500.0,27500.0,0,10000.0,0,5500.0,0,AMERICAN BANKERS ASSOCIATION PAC (BANKPAC),12500.0,banking,NATIONAL ASSOCIATION OF REALTORS POLITICAL ACTION COMMITTEE,12000.0,real_estate,THE FARM CREDIT COUNCIL POLITICAL ACTION COMMITTEE,10000.0,lending,MORGAN STANLEY,1500.0,investment_banking,CAPITAL ONE,1500.0,payments,No,No
"Moody, Ashley",M001244,R,Florida,senate,44.9,40.0,52.6,43.8,72001.0,15001,0,4020.0,23,37,5,2283.9,insurance,35.1,$1M-$5M,3000000,$1M-$5M,Yes,27000.0,10000.0,5000.0,0,5000.0,0,5000.0,0,"FEDERAL BIPARTISAN VOLUNTARY PUBLIC AFFAIRS COMMITTEE OF THE PNC FINANCIAL SERVICES GROUP, INC. (PNC",10000.0,banking,JPMORGAN CHASE & CO. FEDERAL POLITICAL ACTION COMMITTEE,7000.0,banking,REGIONS FINANCIAL CORPORATION POLITICAL ACTION COMMITTEE,5000.0,banking,GOLDMAN SACHS,2000.0,investment_banking,CAPITAL MANAGEMENT,1000.0,investment,No,No
"Wagner, Ann",W000812,R,Missouri,house,35.0,87.5,0.0,0.0,171500.0,0,0,123014.0,0,355,67,1629.7,insurance,26.9,$1M-$5M,3000000,$1M-$5M,Yes,67500.0,35500.0,20000.0,16500.0,15000.0,0,0,0,AMERICAN BANKERS ASSOCIATION PAC (BANKPAC),20000.0,banking,NATIONAL MULTIFAMILY HOUSING COUNCIL AND REAL ESTATE TECHNOLOGY AND TRANSFORMATION CENTER POLITICAL ACTION COMMITTEE (NMHC PAC),20000.0,real_estate,THE NORTHWESTERN MUTUAL LIFE INSURANCE COMPANY POLITICAL ACTION COMMITTEE (NMPAC),18000.0,insurance,EDWARD JONES,71450.0,investment,BLACKSTONE,10941.0,private_equity,Yes,No
"Rulli, Michael A.",R000619,R,Ohio,house,19.0,47.5,0.0,0.0,80000.0,0,0,2030.0,0,52,6,3286.0,insurance,52.1,$1M-$5M,3000000,$1M-$5M,Yes,11000.0,42000.0,12000.0,0,0,0,15000.0,0,"AMERICA'S CREDIT UNIONS PAC OF CREDIT UNION NATIONAL ASSOCIATION, INC.",15000.0,credit_unions,THE COUNCIL OF INSURANCE AGENTS & BROKERS POLITICAL ACTION COMMITTEE,15000.0,insurance,AMERICAN BANKERS ASSOCIATION PAC (BANKPAC),11000.0,banking,JP MORGAN,520.0,banking,AMERICAN INVESTMENT COUNCIL,500.0,investment,No,No
"Justice, James C.",J000312,R,West Virginia,senate,74.0,95.0,80.0,40.2,297501.0,250001,0,2500.0,1,15,3,2398.0,real_estate,35.7,$1M-$5M,3000000,$1M-$5M,Yes,7500.0,10000.0,20000.0,0,5000.0,0,0,0,UNITED SERVICES AUTOMOBILE ASSOCIATION EMPLOYEE PAC - USAA EMPLOYEE PAC,5000.0,insurance,NATIONAL MULTIFAMILY HOUSING COUNCIL AND REAL ESTATE TECHNOLOGY AND TRANSFORMATION CENTER POLITICAL ACTION COMMITTEE (NMHC PAC),5000.0,real_estate,MORTGAGE BANKERS ASSOCIATION POLITICAL ACTION COMMITTEE (MORPAC),5000.0,lending,REGIONS BANK,2000.0,banking,USAA,500.0,insurance,No,No
"Dunn, Neal P.",D000628,R,Florida,house,18.7,46.7,0.0,0.0,79000.0,0,0,13093.0,0,49,8,2791.8,insurance,47.0,$1M-$5M,3000000,$1M-$5M,Yes,18500.0,38000.0,11000.0,0,6500.0,0,5000.0,0,NATIONAL ASSOCIATION OF REALTORS POLITICAL ACTION COMMITTEE,11000.0,real_estate,THE COUNCIL OF INSURANCE AGENTS & BROKERS POLITICAL ACTION COMMITTEE,10000.0,insurance,ALLSTATE INSURANCE COMPANY PAC,10000.0,insurance,BLACKSTONE,8700.0,private_equity,STRIPE,2000.0,payments,No,No
"Norton, Eleanor Holmes",N000147,D,District of Columbia,house,31.1,3.0,58.9,40.8,12000.0,0,0,0,5,5,0,8472.2,real_estate,91.7,$1M-$5M,3000000,$1M-$5M,Yes,0,0,11000.0,0,0,0,1000.0,0,NATIONAL ASSOCIATION OF REALTORS POLITICAL ACTION COMMITTEE,11000.0,real_estate,"AMERICA'S CREDIT UNIONS PAC OF CREDIT UNION NATIONAL ASSOCIATION, INC.",1000.0,credit_unions,,0,,,0,,,0,,No,No
"DeLauro, Rosa L.",D000216,D,Connecticut,house,15.6,39.1,0.0,0.0,70500.0,0,0,3790.0,0,33,6,2537.6,real_estate,42.6,$1M-$5M,3000000,$1M-$5M,Yes,4000.0,10000.0,34000.0,2500.0,5000.0,0,15000.0,0,"AMERICA'S CREDIT UNIONS PAC OF CREDIT UNION NATIONAL ASSOCIATION, INC.",15000.0,credit_unions,NATIONAL APARTMENT ASSOCIATION POLITICAL ACTION COMMITTEE,11500.0,real_estate,NATIONAL ASSOCIATION OF REALTORS POLITICAL ACTION COMMITTEE,11000.0,real_estate,BLACKSTONE,3500.0,private_equity,AMERIPRISE,250.0,investment,No,No
"Waters, Maxine",W000187,D,California,house,28.0,70.0,0.0,0.0,119499.0,0,0,2250.0,0,120,3,2297.2,insurance,38.6,$1M-$5M,3000000,$1M-$5M,Yes,10000.0,47500.0,35999.0,15000.0,0,0,11000.0,0,NATIONAL ASSOCIATION OF INSURANCE AND FINANCIAL ADVISORS POLITICAL ACTION COMM,15000.0,insurance,BLACKROCK FUNDS SERVICES GROUP LLC POLITICAL ACTION COMMITTEE (BLACKROCK PAC),15000.0,investment,NATIONAL MULTIFAMILY HOUSING COUNCIL AND REAL ESTATE TECHNOLOGY AND TRANSFORMATION CENTER POLITICAL ACTION COMMITTEE (NMHC PAC),14999.0,real_estate,JP MORGAN CHASE,1000.0,banking,WELLS FARGO,1000.0,banking,Yes,No
"Pelosi, Nancy",P000197,D,California,house,71.9,98.7,61.2,47.0,1040001.0,1000001,0,23822.0,42,12,910,2778.2,insurance,41.6,$100M-$250M,175000000,$100M+,No,2500.0,15000.0,15000.0,2500.0,0,0,5000.0,0,AFLAC POLITICAL ACTION COMMITTEE (AFLAC PAC),10000.0,insurance,NATIONAL ASSOCIATION OF REALTORS POLITICAL ACTION COMMITTEE,10000.0,real_estate,NATIONAL MULTIFAMILY HOUSING COUNCIL AND REAL ESTATE TECHNOLOGY AND TRANSFORMATION CENTER POLITICAL ACTION COMMITTEE (NMHC PAC),5000.0,real_estate,KAISER PERMANENTE,8420.0,insurance,KELLER WILLIAMS,2438.0,real_estate,No,No
